City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
619,Sinazongwe,ZM,81.0,moderate rain,-17.2614,27.4618,Lakeview Lodge
623,Calamar,CO,78.75,clear sky,10.2511,-74.9146,Hostal Katyalex
625,Katobu,ID,75.74,overcast clouds,-4.9408,122.5276,La Ode Husein
626,Banjar,ID,82.26,heavy intensity rain,-8.19,114.9675,The Hamsa Resort
629,Hobyo,SO,79.14,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
641,Yanam,IN,79.2,clear sky,16.7333,82.2167,The Regency Hotel
646,Rameswaram,IN,80.33,clear sky,9.2833,79.3,Daiwik Hotels Rameswaram
647,Roebourne,AU,86.97,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
652,Salinopolis,BR,82.35,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
655,Palauig,PH,78.28,broken clouds,15.435,119.9045,Alperi Botique Resort
657,Camocim,BR,86.99,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
660,Abeche,TD,88.79,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
663,Lorengau,PG,80.64,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
671,Vanimo,PG,77.7,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
675,Tipitapa,NI,75.22,few clouds,12.1973,-86.0971,Hotel Entre Rios
