City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,La Reforma,MX,25.0833,-108.05,50.29,61,0,6.58,clear sky
315,Malakal,SS,9.5334,31.6605,94.75,10,87,12.48,overcast clouds
316,Wellington,NZ,-41.2866,174.7756,69.06,96,100,1.01,moderate rain
317,Kargasok,RU,59.0556,80.8572,23.05,93,100,13.13,light snow
318,Zyryanovsk,KZ,49.7386,84.2719,-11.61,98,45,2.35,scattered clouds
319,Camacha,PT,33.0833,-16.3333,69.53,82,20,4.61,few clouds
320,Porto Novo,BJ,6.4965,2.6036,87.62,48,5,13.6,clear sky
321,Outjo,NA,-20.1167,16.15,84.67,38,70,4.92,broken clouds
322,Elliot Lake,CA,46.3834,-82.6331,-9.31,82,10,5.84,clear sky
323,Jalu,LY,29.0331,21.5482,61.02,38,4,16.96,clear sky
324,Gwadar,PK,25.1216,62.3254,72.14,53,1,12.26,clear sky
325,Bay Roberts,CA,47.5999,-53.2648,41.5,93,100,1.99,moderate rain
326,College,US,64.8569,-147.8028,4.66,66,100,0.0,overcast clouds
327,Walvis Bay,NA,-22.9575,14.5053,72.09,64,21,12.77,few clouds
328,Rabo De Peixe,PT,37.8,-25.5833,64.27,81,20,16.11,few clouds
329,Coquimbo,CL,-29.9533,-71.3436,65.93,72,75,3.44,broken clouds
330,Yulara,AU,-25.2406,130.9889,73.24,35,0,6.91,clear sky
331,Benguela,AO,-12.5763,13.4055,79.95,61,100,10.09,overcast clouds
332,Hofn,IS,64.2539,-15.2082,33.82,51,20,21.85,few clouds
333,Dire,ML,12.2833,-10.9667,98.4,7,0,4.03,clear sky
334,La Primavera,CO,5.4906,-70.4092,89.1,43,64,12.26,broken clouds
335,San Carlos,VE,9.6612,-68.5827,78.24,67,99,1.86,overcast clouds
336,Byron Bay,AU,-28.65,153.6167,71.49,69,100,22.39,overcast clouds
337,West Bay,KY,19.3667,-81.4167,79.0,87,20,1.01,few clouds
338,De Aar,ZA,-30.6497,24.0123,81.79,20,48,14.2,scattered clouds
339,Pinheiro,BR,-2.5214,-45.0825,83.95,72,100,5.79,moderate rain
340,Bumba,CD,2.1833,22.4667,95.29,22,100,3.44,overcast clouds
341,Kamenka,RU,51.3223,42.7678,23.76,90,100,12.1,overcast clouds
342,Ilulissat,GL,69.2167,-51.1,10.42,67,75,8.05,broken clouds
343,Zhigansk,RU,66.7697,123.3711,-37.44,100,81,3.4,broken clouds
344,Port Macquarie,AU,-31.4333,152.9167,69.76,73,78,17.11,broken clouds
345,Antofagasta,CL,-23.65,-70.4,73.22,54,36,8.32,scattered clouds
